recipe_name,prep_time,cook_time,total_time,servings,yield,rating,url,img_src,total_fat (g),sat_fat (g),cholesterol (mg),sodium (mg),total_carbohydrate (g),dietary_fiber (g),total_sugars (g),protein (g),vitamin_c (mg),calcium (mg),iron (mg),potassium (mg)
Far Breton,15 mins,40 mins,55 mins,8,8 servings,4.6,https://www.allrecipes.com/recipe/134592/far-breton/,https://www.allrecipes.com/thmb/xtZE0TXZ3EbW8avG5D-ci7rnso0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1184589-2edbadb3658c44deb5f848a1f256ffe6.jpg,6.0,3.0,102.0,134.0,53,3.0,34.0,9.0,1.0,169.0,2.0,416
Drozdzowka (Polish Yeast Plum Cake),1 hrs,1 hrs,2 hrs 20 mins,24,1 9x13-inch cake,4.1,https://www.allrecipes.com/recipe/215136/drozdzowka-polish-yeast-plum-cake/,https://www.allrecipes.com/thmb/hHMs30lADZnZQqbig0hTuZPxCTU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4549502-f5653b4cbd9648119fb15af857a30924.jpg,16.0,5.0,43.0,179.0,61,2.0,19.0,8.0,4.0,41.0,3.0,162
Judy's Brown Sauce,2 hrs,3 hrs,6 hrs,200,15 half-pint jars,5.0,https://www.allrecipes.com/recipe/215124/judys-brown-sauce/,https://www.allrecipes.com/thmb/XGh3v0S1Mn-t72thvXf_OpuzNV8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1043788-0c3edab9fc164c3ba7778834a3515b6f.jpg,0.0,,,9.0,8,0.0,7.0,0.0,2.0,4.0,0.0,39
Plum Custard Kuchen,30 mins,1 hrs,1 hrs 30 mins,9,1 to 9 - inch square pan,4.3,https://www.allrecipes.com/recipe/26053/plum-custard-kuchen/,https://www.allrecipes.com/thmb/C4ZsxA6L11uvyxQmuMkVTi4yQgo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6974974-21dde00aab154f559991aed1b6bfef46.jpg,18.0,11.0,91.0,135.0,29,1.0,17.0,4.0,5.0,47.0,1.0,118
Pork Tenderloin with Balsamic Plum Reduction,15 mins,30 mins,45 mins,4,4 servings,4.7,https://www.allrecipes.com/recipe/215141/pork-tenderloin-with-balsamic-plum-reduction/,https://www.allrecipes.com/thmb/kMjhbq7uHbopsQTX2SzY7WShLZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3721441-c996e7e3ea414222af4ad8e1d6236aba.jpg,6.0,1.0,49.0,42.0,12,0.0,12.0,18.0,2.0,11.0,1.0,334
Plum Pudding II,20 mins,2 hrs,2 hrs 20 mins,6,6 servings,4.9,https://www.allrecipes.com/recipe/24302/plum-pudding-ii/,https://www.allrecipes.com/thmb/at_4aLNXeEShW_wVwhW0cYvFSEQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6164042-b6f2a231f6ef454e94f93a787763cbc2.jpg,9.0,5.0,24.0,549.0,55,3.0,20.0,4.0,10.0,149.0,2.0,275
Peach and Plum Cake,30 mins,45 mins,1 hrs 15 mins,12,1 9-inch square cake,3.7,https://www.allrecipes.com/recipe/275173/peach-and-plum-cake/,https://www.allrecipes.com/thmb/QD8be0qftWlQE24hF3H45JTajcI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7079562-7b5bbc0356fa443cb7828aafcfae48b4.jpg,10.0,6.0,58.0,273.0,48,1.0,31.0,5.0,17.0,78.0,1.0,142
Prune Filling,10 mins,,10 mins,24,3 cups,5.0,https://www.allrecipes.com/recipe/26216/prune-filling/,https://www.allrecipes.com/thmb/rLCRIG0I7zNR32oUvZZEM-k8IaY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5057331-66818de25d3c45749dca1964b39a5386.jpg,3.0,0.0,,1.0,7,1.0,6.0,1.0,1.0,7.0,0.0,62
Plum Chipotle Sauce,1 hrs,1 hrs 40 mins,4 hrs 40 mins,128,8 half-pint jars,4.8,https://www.allrecipes.com/recipe/215144/plum-chipotle-sauce/,https://www.allrecipes.com/thmb/rBwbdySQaezPVdddnHOcn0_4DDo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7061887-1292765cdf2242e1962bc6820dea2012.jpg,0.0,,,179.0,13,0.0,12.0,0.0,3.0,2.0,0.0,45
Fruit-Stuffed Pork Loin,20 mins,1 hrs 40 mins,2 hrs,8,1 stuffed pork loin roast,4.3,https://www.allrecipes.com/recipe/230418/fruit-stuffed-pork-loin/,https://www.allrecipes.com/thmb/bgRNDu1MtmZKEG4279kSmJTnH3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1039973-686a7330b1434fee95630aa66f244edf.jpg,20.0,7.0,110.0,85.0,26,2.0,20.0,38.0,2.0,53.0,2.0,831
Plum Flummery,15 mins,5 mins,3 hrs 50 mins,5,5 servings,4.4,https://www.allrecipes.com/recipe/215145/plum-flummery/,https://www.allrecipes.com/thmb/JFD8Zvi5ZKqcbuW4BLfFsTnKMFg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/878738-6d9c78e9c0a1409292ffd1cf507c1b01.jpg,2.0,1.0,7.0,30.0,31,1.0,29.0,3.0,10.0,72.0,0.0,188
Ponche de Frutas (Fruit Punch),20 mins,,20 mins,20,20 servings,4.6,https://www.allrecipes.com/recipe/46818/ponche-de-frutas-fruit-punch/,https://www.allrecipes.com/thmb/sEBEipY0t1FK2Xw2loMUM-_zjqs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/438700-4d4b460eb5c641cba4a8d32530dd40fb.jpg,0.0,,,2.0,21,2.0,18.0,1.0,40.0,25.0,0.0,151
Rogaliki (Polish Jam-Filled Crescents),1 hrs,20 mins,2 hrs,40,40 rogaliki,5.0,https://www.allrecipes.com/recipe/262728/rogaliki-polish-jam-filled-crescents/,https://www.allrecipes.com/thmb/85RQDvCp4Iz9ngUH4eraAXTUSn8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5171050-65388ccea13d40819278a653dbfad00f.jpg,12.0,7.0,53.0,9.0,31,1.0,17.0,3.0,,14.0,1.0,47
Zwetschekuchen (German Plum Tart),30 mins,45 mins,5 hrs 15 mins,12,1 9-inch tart,4.3,https://www.allrecipes.com/recipe/215133/zwetschekuchen-german-plum-tart/,https://www.allrecipes.com/thmb/-ETcMwwxH9h9X2BbxWSnlvKiQEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3995717-65158d0827a5460d8b660e3b828a870e.jpg,18.0,10.0,106.0,123.0,68,3.0,35.0,7.0,11.0,27.0,2.0,243
Plum Buckle,30 mins,45 mins,1 hrs 15 mins,12,1 9x13-inch cake,4.6,https://www.allrecipes.com/recipe/215132/plum-buckle/,https://www.allrecipes.com/thmb/U3gqNb9jGEe6KdSYSW_rFqqlAkE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/491854-ecc3bfcb2fce4c359c43dafe14f004a9.jpg,20.0,12.0,82.0,337.0,81,2.0,53.0,7.0,9.0,117.0,2.0,268
Zucchini Plum Bread,15 mins,1 hrs,1 hrs 25 mins,24,2 loaves,4.8,https://www.allrecipes.com/recipe/234327/zucchini-plum-bread/,https://www.allrecipes.com/thmb/OLLXDSnL2qnv-ERWJMz9ygKVzsY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1054130-f4f1aa897bd44b68b9b78afd534474f7.jpg,10.0,1.0,23.0,172.0,32,1.0,20.0,3.0,4.0,25.0,1.0,113
Spinach Pomegranate Salad,10 mins,,10 mins,4,,4.7,https://www.allrecipes.com/recipe/127167/spinach-pomegranate-salad/,https://www.allrecipes.com/thmb/MFs9Ph1Ra0y3hUnMkSJxrjovhgQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/127167_Spinach-Pomegranat-Salad_Amanda_4576767_original-1x1-1-b60fc7cb05ac458b97030ccbabf41a7c.jpg,21.0,6.0,28.0,585.0,15,3.0,9.0,10.0,24.0,245.0,3.0,596
Chiles en Nogada (Mexican Stuffed Poblano Peppers in Walnut Sauce),1 hrs,30 mins,1 hrs 35 mins,8,8 servings,5.0,https://www.allrecipes.com/recipe/259373/chiles-en-nogada-mexican-stuffed-poblano-peppers-in-walnut-sauce/,https://www.allrecipes.com/thmb/Qz6erweTV1TckXtJkbZ5Cub7zdo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25897-1x1-1-1fad9867d82d423c8bf7dd897f542f66.jpg,51.0,13.0,86.0,227.0,41,9.0,23.0,34.0,107.0,231.0,4.0,1220
Christmas Pomegranate Salad,10 mins,,10 mins,2,,4.8,https://www.allrecipes.com/recipe/268727/christmas-pomegranate-salad/,https://www.allrecipes.com/thmb/6Mo9DEcorHiAqGhtOKOJdohanxE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25825-4x3-1-a40f6990d57b468187c162e4dcfd15a4.jpg,17.0,5.0,17.0,447.0,22,3.0,11.0,9.0,17.0,181.0,2.0,547
Brenda's Apple and Pomegranate Crisp,15 mins,45 mins,1 hrs 10 mins,8,,4.5,https://www.allrecipes.com/recipe/77493/brendas-apple-and-pomegranate-crisp/,https://www.allrecipes.com/thmb/BSaDmeRObXddQvHe8zraPkfEXVA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25937-4x3-1-1bab77a2b63d4f7dbb15286aedb21945.jpg,12.0,7.0,31.0,7.0,47,3.0,35.0,2.0,4.0,32.0,1.0,152
Pomegranate Holiday Cocktail,5 mins,,5 mins,2,2 cocktails,5.0,https://www.allrecipes.com/recipe/276186/pomegranate-holiday-cocktail/,https://www.allrecipes.com/thmb/soG8iIRTTXXp346oWmR7Q4YHK5g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25967-4x3-1-05644c4aeb014d16a8468f6eb7ce4dcf.jpg,0.0,,,15.0,12,1.0,8.0,0.0,10.0,23.0,0.0,44
Pomegranate Jelly,5 mins,10 mins,15 mins,176,11 8-ounce glasses,4.5,https://www.allrecipes.com/recipe/9399/pomegranate-jelly/,https://www.allrecipes.com/thmb/TSXIT7_pwT2JdSkhTU0PcLRz8y0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/434157-b2c0ab08d2374e41829b07e6b4bcf568.jpg,,,,0.0,12,0.0,11.0,,1.0,1.0,0.0,4
Lamb Braised in Pomegranate,15 mins,2 hrs 30 mins,2 hrs 45 mins,6,,4.8,https://www.allrecipes.com/recipe/222191/lamb-braised-in-pomegranate/,https://www.allrecipes.com/thmb/SRajaVq5MFb4k8PdYWT2ucGVGQM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3548121-6199f4d67e144fb6a95bb0b1fb2f64c9.jpg,34.0,14.0,135.0,190.0,23,1.0,18.0,35.0,4.0,46.0,3.0,540
Pomegranate Molasses Barbecue Sauce,15 mins,,15 mins,8,1 cup,4.8,https://www.allrecipes.com/recipe/214977/pomegranate-molasses-barbecue-sauce/,https://www.allrecipes.com/thmb/q4lUyUiZURYCZ4Av6Imx8kfSvHk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6372736-ef5b46b37de4413b9a4081c26ceec06d.jpg,2.0,0.0,,266.0,6,0.0,5.0,0.0,1.0,3.0,1.0,28
Yummy Pomegranate Vinaigrette Dressing,15 mins,,15 mins,24,3 cups,4.7,https://www.allrecipes.com/recipe/245346/yummy-pomegranate-vinaigrette-dressing/,https://www.allrecipes.com/thmb/4Ln070FGZQiPuxWPYQcZbfeqU9A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2909912-3d8cd518f4a1404c97d40b8a48b737d6.jpg,9.0,1.0,,17.0,8,,7.0,,0.0,1.0,0.0,4
Middle Eastern Rice Pilaf with Pomegranate,10 mins,25 mins,35 mins,4,4 servings,5.0,https://www.allrecipes.com/recipe/260447/middle-eastern-rice-pilaf-with-pomegranate/,https://www.allrecipes.com/thmb/J44EbA7hhMpvl8LUapjz88VROV0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6061946-ffd9570f960a467390f66b122febff29.jpg,13.0,3.0,8.0,351.0,59,3.0,16.0,7.0,9.0,49.0,3.0,385
Pear and Pomegranate Salad,10 mins,2 mins,12 mins,2,2 salads,4.4,https://www.allrecipes.com/recipe/213165/pear-and-pomegranate-salad/,https://www.allrecipes.com/thmb/6LaqQgyK0NViqHZr5V5-e-iO-30=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/687763-8a541e84e94a4a3da837c0acbd108423.jpg,7.0,1.0,,88.0,24,4.0,15.0,2.0,22.0,41.0,1.0,280
Heart Healthy Blueberry Smoothie,10 mins,,10 mins,2,2 servings,4.0,https://www.allrecipes.com/recipe/235261/heart-healthy-blueberry-smoothie/,https://www.allrecipes.com/thmb/8THqMejnVd39ggiPUc3t-Z0P36s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1129213-f0ce7480966b467bb126c71199a11f94.jpg,3.0,1.0,4.0,50.0,45,4.0,25.0,10.0,7.0,103.0,1.0,230
Homemade Grenadine,1 mins,10 mins,11 mins,12,12 servings,4.3,https://www.allrecipes.com/recipe/217210/homemade-grenadine/,https://www.allrecipes.com/thmb/98DuipYVjdGFXpEiBF8AzOyuf5k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4574288-02fdfc6b50da438fa3d984c46fd763ea.jpg,,,,0.0,18,,18.0,,,0.0,,0
Spiced Pears and Pomegranate,10 mins,,10 mins,4,4 servings,4.4,https://www.allrecipes.com/recipe/56148/spiced-pears-and-pomegranate/,https://www.allrecipes.com/thmb/C9SUglRUXZ-NNT7M_-F8tZBUW-c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5210-7c1b62609ae34163abd4a8d55d59f0e4.jpg,2.0,0.0,,5.0,39,6.0,29.0,2.0,13.0,38.0,1.0,329
Chef John's Sweet Potato Biscuits,20 mins,20 mins,40 mins,8,8 large or 12 regular biscuits,4.8,https://www.allrecipes.com/recipe/261792/chef-johns-sweet-potato-biscuits/,https://www.allrecipes.com/thmb/H8B70Qzd7b3sXac70NZ5TQ5EGME=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4597581-4a78d6d9de7f4822b6be19af542aa3fc.jpg,25.0,16.0,65.0,1037.0,52,3.0,5.0,7.0,2.0,215.0,3.0,290
Spinach and Persimmon Salad with Goat Cheese and Pomegranate,20 mins,,20 mins,2,2 servings,5.0,https://www.allrecipes.com/recipe/277227/spinach-and-persimmon-salad-with-goat-cheese-and-pomegranate/,https://www.allrecipes.com/thmb/ahECQDp6WjHSd4QKB-0RFUSV1_s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7247725-7c1573284faa4aa98da9e056505b92ce.jpg,24.0,8.0,22.0,295.0,12,2.0,4.0,9.0,29.0,147.0,2.0,443
Pavlova with Winter Fruits,30 mins,1 hrs,2 hrs 30 mins,3,3 pavlovas,5.0,https://www.allrecipes.com/recipe/269274/pavlova-with-winter-fruits/,https://www.allrecipes.com/thmb/VYFNwxZnUrmuhK2CL21ue7WFB_Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6007485-f9b711c631e6434ab3ea8f05388e5e36.jpg,49.0,32.0,382.0,227.0,133,7.0,111.0,13.0,140.0,187.0,3.0,592
Cranberry-Pomegranate Mimosa,5 mins,,5 mins,1,1 glass,5.0,https://www.allrecipes.com/recipe/276187/cranberry-pomegranate-mimosa/,https://www.allrecipes.com/thmb/nI1gAqQ6w0uxQCiTaONbIvzUg-0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7203217-5a073ae7a52f48b5a1e7d2127dc13115.jpg,0.0,,,8.0,34,0.0,28.0,0.0,16.0,9.0,0.0,126
Holiday Cranberry-Pomegranate Sauce,15 mins,20 mins,8 hrs 35 mins,24,3 cups,4.6,https://www.allrecipes.com/recipe/130578/holiday-cranberry-pomegranate-sauce/,https://www.allrecipes.com/thmb/PJ2_GLAXfFLK47fkfESXo80H6mU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/146677-5e1e1de6f83445209e8005ec9b857e7d.jpg,0.0,,,1.0,13,1.0,11.0,0.0,8.0,6.0,0.0,51
Pomegranate Stew with Chicken (Khoresh Fesenjan),15 mins,2 hrs 30 mins,2 hrs 45 mins,6,6 servings,4.2,https://www.allrecipes.com/recipe/85118/pomegranate-stew-with-chicken-khoresh-fesenjan/,https://www.allrecipes.com/thmb/i4zJSe3VyGcvvHCpmiGaz9tJl0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8815-856fad791c744317aaecd2701c66d0ef.jpg,39.0,6.0,64.0,445.0,95,3.0,83.0,24.0,7.0,51.0,4.0,329
Cranberry Pomegranate Sauce,30 mins,45 mins,1 hrs 15 mins,24,5 cups,4.5,https://www.allrecipes.com/recipe/130639/cranberry-pomegranate-sauce/,https://www.allrecipes.com/thmb/FP1Z1a0S0Kz1EwPesSEWuR5QLE4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/519878-d7f39d8dacf142eaa56610190a8e2aea.jpg,4.0,0.0,,2.0,31,3.0,26.0,1.0,14.0,14.0,0.0,124
Smokey Butternut Squash Soup,15 mins,45 mins,1 hrs,6,6 servings,3.7,https://www.allrecipes.com/recipe/235260/smokey-butternut-squash-soup/,https://www.allrecipes.com/thmb/Rh2tzHJVih7oIMSrTwgJgI-QLuA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1061828-e5df325597b34588b83c7d39966f23f0.jpg,10.0,2.0,5.0,92.0,39,6.0,16.0,5.0,63.0,189.0,2.0,990
Pomegranate Grenadine,5 mins,20 mins,55 mins,32,32 servings,5.0,https://www.allrecipes.com/recipe/237763/pomegranate-grenadine/,https://www.allrecipes.com/thmb/n4zz7VM_jeYXB5-oRLMSRtUGdoo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1172032-ef4749c216f744e6a644f3aef3597a1e.jpg,,,,1.0,11,,11.0,,,0.0,,0
Halloumi Three-Bean Salad with Pomegranate-Harissa Vinaigrette,10 mins,15 mins,40 mins,8,8 servings,4.0,https://www.allrecipes.com/recipe/266602/halloumi-three-bean-salad-with-pomegranate-harissa-vinaigrette/,https://www.allrecipes.com/thmb/KDO8q049VmoifZzq-oj_SZK2D5E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5584011-45b27632638343ac889f10e8158cf8de.jpg,12.0,5.0,19.0,464.0,20,6.0,2.0,11.0,1.0,46.0,2.0,246
Salmon with Pomegranate Glaze,10 mins,11 mins,36 mins,4,4 fillets,4.0,https://www.allrecipes.com/recipe/258360/salmon-with-pomegranate-glaze/,https://www.allrecipes.com/thmb/XYGVE7XQIMh1JLlQj7uYKkCLMHU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4528020-2baab377ab6c4b5f979eb79c4c945173.jpg,23.0,4.0,83.0,307.0,17,0.0,16.0,30.0,8.0,23.0,1.0,606
"Apple, Pomegranate, and Pecan Salad",20 mins,,20 mins,8,8 servings,4.5,https://www.allrecipes.com/recipe/281968/apple-pomegranate-and-pecan-salad/,https://www.allrecipes.com/thmb/BYK4Dl_1iqk219wN5P1SSBXp2xo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8921486-47b746a19d9a4f298ccb7874c01e1b74.jpg,10.0,2.0,7.0,187.0,12,2.0,9.0,4.0,8.0,60.0,1.0,234
Creamy Pomegranate Ice Cream,5 mins,,35 mins,6,3 cups,4.0,https://www.allrecipes.com/recipe/200443/creamy-pomegranate-ice-cream/,https://www.allrecipes.com/thmb/-8LvSaNIhaOg2I0WqalIkd-FcDs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/672087-942d677c8f2f46b6a4f7a4d382ab50aa.jpg,15.0,9.0,54.0,17.0,41,,39.0,1.0,0.0,26.0,,32
Spiced Pomegranate Syrup,5 mins,5 mins,20 mins,6,1 cup syrup,4.0,https://www.allrecipes.com/recipe/159556/spiced-pomegranate-syrup/,https://www.allrecipes.com/thmb/4aHeo49MXJ0_f_AZZ-Avd9G68RA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2840054-60c140df57af434fa8b4953d7f4d3e65.jpg,2.0,1.0,5.0,21.0,25,0.0,22.0,0.0,2.0,25.0,0.0,72
Roasted Pork Shoulder with Pomegranate Sauce,20 mins,1 hrs 15 mins,1 hrs 55 mins,4,,4.3,https://www.allrecipes.com/recipe/153265/roasted-pork-shoulder-with-pomegranate-sauce/,https://www.allrecipes.com/thmb/58bqyIB_T_QpKw7ESDrBfW3vRjQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25851-4x3-1-c30b1b90a3db4ce98b8644d90977a419.jpg,26.0,9.0,136.0,200.0,21,1.0,20.0,42.0,6.0,52.0,2.0,761
Holiday Pomegranate Mignonette,10 mins,,1 hrs 10 mins,4,4 servings,5.0,https://www.allrecipes.com/recipe/236576/holiday-pomegranate-mignonette/,https://www.allrecipes.com/thmb/kFPiZkjgJ9Dtz8iOINCLwwZPJ60=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1670332-86a0fb143ab54ffbb760214f03850b72.jpg,,,,2.0,4,0.0,2.0,0.0,1.0,4.0,0.0,40
Freekeh Salad with Tahini Dressing,10 mins,30 mins,1 hrs 10 mins,6,6 servings,3.7,https://www.allrecipes.com/recipe/270199/freekeh-salad-with-tahini-dressing/,https://www.allrecipes.com/thmb/rQm3rmdeldXgaI7AbPBGBf8DWZo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6286290-8c42a65b013849758ba551e098a7fd76.jpg,12.0,1.0,2.0,464.0,32,6.0,6.0,8.0,4.0,28.0,1.0,199
Pretty Pomegranate Salad,15 mins,,15 mins,4,1 salad,4.5,https://www.allrecipes.com/recipe/214633/pretty-pomegranate-salad/,https://www.allrecipes.com/thmb/ppyYOGpBqBiQk5fmGIE00TD7UK8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1067083-d53eb576d9fc451ab7a480b5fbe3989f.jpg,1.0,0.0,,80.0,20,4.0,15.0,5.0,58.0,193.0,3.0,863
Pomegranate Relish,5 mins,5 mins,10 mins,5,4 to 6 servings,4.4,https://www.allrecipes.com/recipe/24325/pomegranate-relish/,https://www.allrecipes.com/thmb/H3fCPmdL8pWvQSBDCsu2EIZe37w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3067394-d9edb0b546974468823babf3b75a7168.jpg,8.0,1.0,,5.0,13,1.0,11.0,1.0,7.0,9.0,0.0,221
Khoresht Fesenjaan (Chicken with Pomegranate Sauce),20 mins,3 hrs 30 mins,3 hrs 50 mins,12,12 servings,3.8,https://www.allrecipes.com/recipe/49450/khoresht-fesenjaan-chicken-with-pomegranate-sauce/,https://www.allrecipes.com/thmb/kd7QQlemNKn0gf-xyhHsYxHPhX8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1093231-9f3ad78d0d9d40b5b1caa6f9185cfacd.jpg,52.0,9.0,85.0,281.0,49,6.0,29.0,29.0,29.0,126.0,4.0,823
"Persimmon, Pomegranate, and Massaged Kale Salad",25 mins,5 mins,30 mins,4,4 servings,4.0,https://www.allrecipes.com/recipe/245726/persimmon-pomegranate-and-massaged-kale-salad/,https://www.allrecipes.com/thmb/G36EFdILMmVoeMBBJolfY9GBM7k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3036705-7fcae46ca36f4d25a2034f53fcba3982.jpg,18.0,3.0,,429.0,41,6.0,13.0,9.0,285.0,332.0,5.0,1185
Zesty Salad,20 mins,10 mins,40 mins,2,2 servings,5.0,https://www.allrecipes.com/recipe/254539/zesty-salad/,https://www.allrecipes.com/thmb/U0wx64azpKWCweeFrnSD7o3S2VI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4097292-cf076c14b8f44ab79027d9a0f6801810.jpg,3.0,0.0,,604.0,23,3.0,7.0,3.0,29.0,30.0,1.0,527
"Quinoa Salad with Broccoli, Nuts, and Pomegranate",15 mins,30 mins,45 mins,4,4 servings,5.0,https://www.allrecipes.com/recipe/263464/quinoa-salad-with-broccoli-nuts-and-pomegranate/,https://www.allrecipes.com/thmb/LH6nPV5zy2m6ulgl8nV0FXu5hfg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8824289-cc5dd4da2a2347039c18a0d0b6648304.jpg,22.0,6.0,,28.0,48,6.0,16.0,11.0,47.0,53.0,3.0,604
Healthy Apple and Kale Salad,15 mins,,15 mins,3,3 servings,3.0,https://www.allrecipes.com/recipe/276587/healthy-apple-and-kale-salad/,https://www.allrecipes.com/thmb/1lsQ5tkXSur6zhug4lelwHeRKgY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8712186-17ab7c97959540698dc414682d52efd8.jpg,10.0,1.0,,47.0,42,5.0,26.0,5.0,128.0,151.0,3.0,842
Pomegranate Glazed Carrots,10 mins,15 mins,25 mins,4,4 servings,3.8,https://www.allrecipes.com/recipe/229672/pomegranate-glazed-carrots/,https://www.allrecipes.com/thmb/qy9Bd3a-UXmIIJOfcxaRlQzC8tY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4086144-cb7a236a01dd4f85bcdb39860ae05cd1.jpg,3.0,2.0,8.0,84.0,13,3.0,8.0,1.0,13.0,33.0,0.0,325
World's Best Guacamole,25 mins,,2 hrs 25 mins,6,6 servings,3.8,https://www.allrecipes.com/recipe/213698/worlds-best-guacamole/,https://www.allrecipes.com/thmb/rF0Bcipo2nEK7k5QiEtzPThXGJ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/366797-00743fa59fb44a679be8bf21a3242b33.jpg,20.0,3.0,,12.0,17,11.0,2.0,3.0,29.0,34.0,1.0,724
Persimmon Bread I,,,,6,1 loaf,4.7,https://www.allrecipes.com/recipe/6701/persimmon-bread-i/,https://www.allrecipes.com/thmb/ARMAxOwlfsKfUXDsV1VFwXtHaNo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7271227-f21ac5b872dc43cc8e55410152bc6302.jpg,27.0,4.0,62.0,430.0,73,3.0,33.0,8.0,26.0,44.0,3.0,313
Persimmon Bread II,10 mins,1 hrs,1 hrs 10 mins,24,3 - 6x3 inch loaves,4.6,https://www.allrecipes.com/recipe/6964/persimmon-bread-ii/,https://www.allrecipes.com/thmb/WM0_ugI8iAojUZR_DM52W95MRHM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1852566-16d6cd402515491b810053270c57e324.jpg,13.0,2.0,31.0,262.0,41,1.0,25.0,4.0,7.0,16.0,1.0,81
Fuyu Persimmon Pie,20 mins,1 hrs 10 mins,3 hrs 30 mins,10,1 9-inch pie,4.8,https://www.allrecipes.com/recipe/268441/fuyu-persimmon-pie/,https://www.allrecipes.com/thmb/zgr0dp_79JlBNIiS-WW6eOG9NHc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9428298-05c1b85229454490b2224657aa97b4ce.jpg,22.0,9.0,24.0,199.0,87,4.0,21.0,4.0,93.0,55.0,5.0,474
Easy Persimmon Jam,15 mins,15 mins,1 hrs,16,16 servings,3.8,https://www.allrecipes.com/recipe/256073/easy-persimmon-jam/,https://www.allrecipes.com/thmb/GjIx65uyBNfsfGUIqUXaNDU_rJ8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4593837-c3e330cdd84d447e8a7ca0b5b029a875.jpg,0.0,,,0.0,18,1.0,9.0,0.0,20.0,9.0,1.0,87
